,RK,Player,Team,Pos,G,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,AVGâ–¼,OBP,SLG,OPS
0,1," Kratz, E",NYY,C,4,2,0,2,1,0,0,2,0,0,0,0,1.000,1.000,1.500,2.500
1,2," Andujar, M",NYY,3B,5,7,0,4,2,0,0,4,1,0,1,0,.571,.625,.857,1.482
2,3," Pineda, M",NYY,P,2,3,0,1,0,0,0,0,0,2,0,0,.333,.333,.333,.667
3,4," Cooper, G",NYY,1B,13,43,3,14,5,1,0,6,1,12,0,0,.326,.333,.488,.822
4,5," Castro, S",NYY,2B,112,443,66,133,18,1,16,63,23,93,2,0,.300,.338,.454,.792
5,6," Torreyes, R",NYY,2B,108,315,35,92,15,1,3,36,11,43,2,0,.292,.314,.375,.689
6,7," Gregorius, D",NYY,SS,136,534,73,153,27,0,25,87,25,70,3,1,.287,.318,.478,.796
7,8," Judge, A",NYY,RF,155,542,128,154,24,3,52,114,127,208,9,4,.284,.422,.627,1.049
8,9," Sanchez, G",NYY,C,122,471,79,131,20,0,33,90,40,120,2,1,.278,.345,.531,.876
9,10," Headley, C",NYY,3B,147,512,77,140,30,1,12,61,60,132,9,2,.273,.352,.406,.758
10,11," Choi, J",NYY,1B,6,15,2,4,1,0,2,5,2,5,0,0,.267,.333,.733,1.067
11,12," Hicks, A",NYY,CF,88,301,54,80,18,0,15,52,51,67,10,5,.266,.372,.475,.847
12,13," Gardner, B",NYY,LF,151,594,96,157,26,4,21,63,72,122,23,5,.264,.350,.428,.778
13,14," Ellsbury, J",NYY,CF,112,356,65,94,20,4,7,39,41,63,22,3,.264,.348,.402,.750
14,15," Williams, M",NYY,RF,5,16,3,4,0,0,0,1,1,2,2,0,.250,.294,.250,.544
15,16," Frazier, C",NYY,LF,39,134,16,31,9,4,4,17,7,43,1,0,.231,.268,.448,.715
16,17," Holliday, M",NYY,DH,105,373,50,86,18,0,19,64,46,114,1,0,.231,.316,.432,.748
17,18," Austin, T",NYY,1B,20,40,4,9,2,0,2,8,4,17,0,0,.225,.283,.425,.708
18,19," Frazier, T",NYY,3B,66,194,33,43,4,1,11,32,35,54,0,0,.222,.365,.423,.788
19,20," Romine, A",NYY,C,80,229,19,50,9,1,2,21,16,57,0,0,.218,.272,.293,.565
20,21," Carter, C",NYY,1B,62,184,20,37,5,1,8,26,20,76,0,0,.201,.284,.370,.653
21,22," Severino, L",NYY,P,2,5,1,1,0,0,0,0,0,1,0,0,.200,.200,.200,.400
22,23," Bird, G",NYY,1B,48,147,20,28,7,0,9,28,19,42,0,0,.190,.288,.422,.710
23,24," Wade, T",NYY,SS,30,58,7,9,4,0,0,2,5,19,1,1,.155,.222,.224,.446
24,25," Refsnyder, R",NYY,1B,20,37,3,5,1,1,0,0,3,8,2,0,.135,.200,.216,.416
25,26," Kozma, P",NYY,SS,11,9,2,1,0,0,0,0,1,2,0,0,.111,.200,.111,.311
26,27," Garcia, J",NYY,P,1,2,0,0,0,0,0,0,0,1,0,0,.000,.000,.000,.000
27,27," Higashioka, K",NYY,C,9,18,2,0,0,0,0,0,2,6,0,0,.000,.100,.000,.100
28,27," Montgomery, J",NYY,P,2,3,0,0,0,0,0,0,2,2,0,0,.000,.400,.000,.400
29,27," Sabathia, C",NYY,P,2,3,0,0,0,0,0,0,1,2,0,0,.000,.250,.000,.250
30,27," Shreve, C",NYY,P,3,2,0,0,0,0,0,0,0,1,0,0,.000,.000,.000,.000
31,27," Tanaka, M",NYY,P,1,2,0,0,0,0,0,0,0,2,0,0,.000,.000,.000,.000
32,33," Betances, D",NYY,P,6,0,0,0,0,0,0,0,0,0,0,0,.---,.---,.---,.000
33,33," Chapman, A",NYY,P,7,0,0,0,0,0,0,0,0,0,0,0,.---,.---,.---,.000
34,33," Clippard, T",NYY,P,5,0,0,0,0,0,0,0,0,0,0,0,.---,.---,.---,.000
35,33," Fowler, D",NYY,CF,1,0,0,0,0,0,0,0,0,0,0,0,.---,.---,.---,.000
36,33," Green, C",NYY,P,1,0,0,0,0,0,0,0,0,0,0,0,.---,.---,.---,.000
37,33," Holder, J",NYY,P,4,0,0,0,0,0,0,0,0,0,0,0,.---,.---,.---,.000
38,33," Kahnle, T",NYY,P,2,0,0,0,0,0,0,0,0,0,0,0,.---,.---,.---,.000
39,33," Layne, T",NYY,P,3,0,0,0,0,0,0,0,0,0,0,0,.---,.---,.---,.000
40,33," Mitchell, B",NYY,P,4,0,0,0,0,0,0,0,0,0,0,0,.---,.---,.---,.000
41,33," Robertson, D",NYY,P,2,0,0,0,0,0,0,0,0,0,0,0,.---,.---,.---,.000
42,33," Smith, C",NYY,P,1,0,0,0,0,0,0,0,0,0,0,0,.---,.---,.---,.000
43,33," Warren, A",NYY,P,4,0,0,0,0,0,0,0,0,0,0,0,.---,.---,.---,.000
